ダウンロードした時刻：2015/06/12 11:53:46

,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山,阿蘇山
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均風速(m/s),平均風速(m/s),平均風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最多風向(16方位),最多風向(16方位),最多風向(16方位),平均蒸気圧(hPa),平均蒸気圧(hPa),平均蒸気圧(hPa),平均湿度(％),平均湿度(％),平均湿度(％),最小相対湿度(％),最小相対湿度(％),最小相対湿度(％),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均海面気圧(hPa),平均海面気圧(hPa),平均海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),天気概況(昼：06時〜18時),天気概況(昼：06時〜18時),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時),天気概況(夜：18時〜翌日06時),天気概況(夜：18時〜翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,風向,風向,,,,風向,風向,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2015/1/1,-7.8,8,1,-4.9,8,1,-9.7,8,1,0.0,0,8,1,0.0,0,8,1,0.8,0,8,1,,0,1,0,1,8,1,0,1,8,1,8.6,8,1,13.8,8,西北西,8,1,23.9,8,北西,8,1,西北西,8,1,3.0,8,1,88,8,1,76,8,1,882.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/2,-6.3,8,1,-5.1,8,1,-8.4,8,1,2.5,0,8,1,1.0,0,8,1,0.0,0,8,1,,0,1,8,0,8,1,8,0,8,1,6.3,8,1,12.1,8,西北西,8,1,18.2,8,西北西,8,1,西北西,8,1,3.6,8,1,95,8,1,90,8,1,886.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/3,-3.8,8,1,1.4,8,1,-10.1,8,1,0.0,0,8,1,0.0,0,8,1,8.8,0,8,1,,0,1,7,0,8,1,0,1,8,1,4.2,8,1,8.4,8,西南西,8,1,13.0,8,西南西,8,1,西南西,8,1,2.8,8,1,64,8,1,14,8,1,888.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/4,1.7,8,1,3.9,8,1,-1.7,8,1,0.0,0,8,1,0.0,0,8,1,0.1,0,8,1,,0,1,5,0,8,1,0,1,8,1,4.0,8,1,7.4,8,西,8,1,13.0,8,南西,8,1,西南西,8,1,6.7,8,1,97,8,1,88,8,1,886.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/5,5.0,8,1,9.5,8,1,0.4,8,1,0.0,0,8,1,0.0,0,8,1,5.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.0,8,1,7.6,8,西北西,8,1,11.0,8,南南西,8,1,南,8,1,4.9,8,1,59,8,1,23,8,1,887.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/6,4.3,8,1,9.5,8,1,-2.2,8,1,25.5,0,8,1,10.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,7.9,8,1,15.0,8,南西,8,1,29.9,8,南南西,8,1,西北西,8,1,8.0,8,1,95,8,1,68,8,1,879.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/7,-2.9,8,1,0.9,8,1,-6.1,8,1,0,1,8,1,0,1,8,1,7.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.3,8,1,8.7,8,北西,8,1,12.3,8,北西,8,1,北西,8,1,4.1,8,1,83,8,1,69,8,1,881.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/8,-4.3,8,1,-0.8,8,1,-6.5,8,1,0.0,0,8,1,0.0,0,8,1,4.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.7,8,1,7.0,8,西,8,1,10.3,8,北西,8,1,北西,8,1,4.0,8,1,90,8,1,69,8,1,886.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/9,-3.0,8,1,0.4,8,1,-6.4,8,1,0.0,0,8,1,0.0,0,8,1,6.8,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.2,8,1,8.6,8,西,8,1,12.3,8,西南西,8,1,西北西,8,1,4.3,8,1,87,8,1,68,8,1,887.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/10,-2.2,8,1,1.0,8,1,-3.8,8,1,0.0,0,8,1,0.0,0,8,1,5.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.4,8,1,9.5,8,西北西,8,1,13.3,8,西北西,8,1,西,8,1,4.5,8,1,88,8,1,61,8,1,888.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/11,-1.6,8,1,0.7,8,1,-3.5,8,1,0.0,0,8,1,0.0,0,8,1,0.4,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.7,8,1,9.4,8,西北西,8,1,16.2,8,西,8,1,西,8,1,4.8,8,1,89,8,1,76,8,1,888.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/12,-3.8,8,1,-0.8,8,1,-6.0,8,1,0.0,0,8,1,0.0,0,8,1,4.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.6,8,1,9.8,8,北,8,1,13.2,8,北北西,8,1,北,8,1,3.8,8,1,81,8,1,69,8,1,893.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/13,-0.4,8,1,6.0,8,1,-5.9,8,1,0.0,0,8,1,0.0,0,8,1,2.9,0,8,1,,0,1,0,1,4,1,0,1,4,1,3.0,8,1,10.4,8,北東,8,1,14.7,8,北東,8,1,北,8,1,3.7,8,1,64,8,1,14,8,1,896.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/14,4.0,8,1,5.8,8,1,1.8,8,1,6.0,0,8,1,2.5,0,8,1,0.0,0,8,1,,0,1,0,1,4,1,0,1,4,1,4.7,8,1,11.3,8,南東,8,1,19.2,8,南東,8,1,南南東,8,1,5.2,8,1,63,8,1,12,8,1,891.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/15,2.1,8,1,7.3,8,1,-0.3,8,1,20.0,0,5,1,10.0,0,5,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.4,8,1,10.4,8,北東,8,1,16.4,8,東南東,8,1,北北西,8,1,7.1,8,1,100,8,1,96,8,1,883.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/16,0.5,8,1,4.3,8,1,-2.1,8,1,0.5,0,8,1,0.5,0,8,1,4.3,0,5,1,,0,1,0,1,8,1,0,1,8,1,5.2,8,1,11.3,8,西北西,8,1,16.8,8,西北西,8,1,北北東,8,1,6.0,8,1,95,8,1,79,8,1,886.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2015/1/17,-3.5,8,1,-0.3,8,1,-5.9,8,1,0.0,0,8,1,0.0,0,8,1,4.7,0,5,1,,0,1,0,1,8,1,0,1,8,1,7.6,8,1,11.4,8,西北西,8,1,17.9,8,西北西,8,1,西北西,8,1,3.9,8,1,83,8,1,48,8,1,887.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
